id,type,series,series_length
1,sin(0.5x),-0.916770497122214 -0.805405496333759 -1.0391876861392 -1.28782631823869 -0.159188445516181 -0.347177288301707 -1.72832308779749 -0.284776341874931 -0.540012704526256 0.178849614020709 0.0998170471475353 0.204751611907793 0.107868776128566 1.56760864950444 0.81141156279071 0.988948410546595 2.0464860021723 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,17
1,tanh(x),-1.52091652956719 -1.02974267654474 -1.11801382081787 -1.18036393338633 -0.813888906697021 -1.42999952060975 -0.846727261938385 -1.39581071631111 -0.1220345549487 -0.324269003089954 0.91922376023001 1.31324442251563 0.440328662561134 0.0600767830953568 1.0576181769994 2.1155091690229 0.824822919603273 1.23436159455339 0.407296862642116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19
1,sin(2x),-0.411099002062795 -1.43399747859088 0.19431256531451 1.05409668542231 -0.0177506434026596 -1.18576038273128 -1.30265299761624 -0.431515477383287 0.237285025874654 0.43548907636225 0.24013860940819 1.30335351182993 -0.630653530072555 -0.734918955364206 0.964454143069175 1.69233290878985 1.19696091686049 0.058575264780663 0.529556742056539 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19
2,sin(0.5x),-1.3110261474345 -0.166189283477635 -0.725482812224437 -0.312182166354227 -0.335453264218733 -0.0528452594747284 -0.348304308894953 -0.847371300100224 -0.460376409269642 -0.465578540681389 1.24584333044408 0.48339257279229 0.813261633375685 1.05984342889952 0.361798846167321 0.165517598426603 1.16809797871714 0.496143644367765 1.35044720822214 1.0535298559119 1.02215284114743 0.453399640327774 0.503556779648181 1.56637986091503 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,24
2,tanh(x),0.688336115331376 -0.738394710671119 -1.28405252814568 -2.21864921829507 -0.561629746243717 -1.1363886939984 -0.884745832684542 -1.07203670165349 0.523245237374655 0.996767864294923 0.581748387906466 1.18250520670136 1.39767722285558 0.563848531969413 1.05801272175757 2.112635608362 0.739418290351634 1.10050384214183 1.22883011503485 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19
2,sin(2x),-0.222254991103457 -0.930682132780085 0.882119859803832 0.607388813662859 0.832409200325388 0.523126066751478 -0.693275925606554 0.0707498023243382 0.712890193975009 -0.197900815362056 -0.731607626566673 -1.40334414058751 -0.511459312377159 0.428496637876856 1.53884449036353 0.919097994866493 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,16
3,sin(0.5x),-0.614631878896656 -0.2634446215958 -1.14080716963403 -1.43147597175321 -0.15583130512959 0.0342548923802761 -0.646423975235698 -0.438415118346665 0.23424717199131 -0.0609100999928534 0.514794941664233 1.00949737320096 1.11628868864773 1.56909121144738 0.598155066927398 -0.0381303417033443 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,16
3,tanh(x),-1.12737867654964 -1.61430901511256 -1.25374036119674 -0.469212836615236 -1.66715784929789 -0.698549714845669 -1.02323233298973 -1.26865634064878 0.190607504490069 0.821691349477372 1.10621735009765 0.997435417104594 1.468154986812 0.592164168936799 0.599917233371407 1.19114908118936 1.24028700677696 0.727872139714083 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,18
3,sin(2x),-0.249094495068129 -0.619174327974296 -0.845873102937526 -0.688330827106828 -0.438012636401851 0.699922658069139 0.0601269857745232 0.895354118530174 1.01282235112117 0.13676368032449 0.367462728337481 -0.160641159582739 -0.378327493353933 -0.775568888208617 0.801882595463373 -0.474470060467385 0.696314855681279 -0.854643766211389 0.0493377637714129 -1.31322379035132 -0.802446788920788 -0.112013254404224 1.57456039905646 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,23
4,sin(0.5x),-0.270150056398208 -0.66717656527008 -1.17236859883191 -1.31300210062407 -0.908497340461706 -0.873285705780981 0.140781503755305 0.368552356929956 0.977991995526258 0.889144674015409 0.124492393039656 1.54126117937451 0.742293971558923 0.76316126200524 0.0770625421632309 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,15
