id,type,e_0,e_1,e_2,e_3,e_4,e_5,e_6,e_7,e_8,e_9,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_30,e_31
692,sin(0.5x),-0.0091904,0.19086,0.0457748,-0.0118858,-0.390799,-0.0423101,0.309991,0.0373521,0.497498,-0.368894,0.144478,-0.207749,0.00822235,-0.164815,0.346863,0.122729,-0.165335,-0.129363,-0.00174246,0.207359,0.192341,-0.0993212,0.0184053,0.169533,-0.229039,-0.241088,0.31652,0.190807,0.347326,-0.636887,-0.197999,-0.0547676
196,tanh(x),0.0508579,0.364753,-0.0305515,0.00658073,-0.438147,-0.17769,0.416479,-0.0468102,0.742284,-0.443564,0.0893092,-0.363245,0.0399867,-0.439648,0.318778,0.233079,-0.280485,-0.386817,-0.0236369,0.0181512,0.243934,-0.110113,-0.0840865,0.326492,-0.212805,-0.204446,0.419633,0.133471,0.403612,-0.746976,-0.274862,-0.0795746
155,sin(0.5x),0.00695363,0.26848,0.0319349,-0.0014347,-0.412446,-0.0896136,0.348321,0.00951131,0.573206,-0.385656,0.118704,-0.269472,0.0174805,-0.25519,0.332306,0.16322,-0.190721,-0.21801,-0.00582521,0.10955,0.188957,-0.0954437,0.00603183,0.214867,-0.2229,-0.213855,0.34892,0.162328,0.361974,-0.649363,-0.218681,-0.0587444
28,sin(0.5x),0.0471754,0.343292,-0.0222892,0.0112121,-0.376698,-0.147386,0.363007,-0.0386068,0.703376,-0.402076,0.0712938,-0.38573,0.0689505,-0.416128,0.270484,0.226496,-0.291937,-0.356055,-0.0500378,0.0225289,0.224722,-0.0776431,-0.0906139,0.309951,-0.171707,-0.206358,0.3837,0.0733184,0.392952,-0.680096,-0.245339,-0.11589
660,tanh(x),0.0381141,0.327411,-0.0174912,-0.0050709,-0.388217,-0.154591,0.383462,-0.0386569,0.702949,-0.42437,0.0978252,-0.34892,0.0521763,-0.39864,0.305549,0.211902,-0.273259,-0.340936,-0.0389356,0.0694875,0.236044,-0.10783,-0.084009,0.307565,-0.194222,-0.212633,0.386723,0.129417,0.394164,-0.718793,-0.257497,-0.0939809
552,tanh(x),0.017169,0.281018,0.00134906,-0.0195387,-0.453781,-0.129485,0.40479,-0.0114403,0.644329,-0.449532,0.151655,-0.243167,-0.0026416,-0.310533,0.385146,0.175532,-0.214018,-0.262114,0.00574906,0.152991,0.245228,-0.145606,-0.0328632,0.263255,-0.258592,-0.23148,0.389937,0.233178,0.388445,-0.762816,-0.264037,-0.0315033
198,tanh(x),0.0149879,0.276359,0.0045237,-0.0212224,-0.438957,-0.126984,0.399433,-0.0129712,0.643168,-0.446629,0.150819,-0.249402,0.00358474,-0.307746,0.377422,0.175104,-0.21609,-0.259478,-0.000532155,0.158348,0.241507,-0.144317,-0.0352061,0.263148,-0.251651,-0.230589,0.383766,0.227171,0.387951,-0.756617,-0.259765,-0.0393446
607,tanh(x),0.023603,0.307652,0.00243535,-0.00786334,-0.437676,-0.136636,0.399718,-0.0190055,0.662942,-0.435526,0.125169,-0.292655,0.0172959,-0.333991,0.351802,0.191804,-0.225271,-0.290535,-0.00595686,0.10055,0.226875,-0.123359,-0.0348736,0.272807,-0.236074,-0.214861,0.390328,0.187127,0.385911,-0.733184,-0.255775,-0.0564096
62,sin(0.5x),0.0349559,0.302542,-0.0100954,-0.00397209,-0.363396,-0.131573,0.347849,-0.020568,0.658215,-0.399117,0.0934092,-0.338297,0.0590227,-0.357735,0.294546,0.191411,-0.262653,-0.293829,-0.0436407,0.0954873,0.228782,-0.0888984,-0.077697,0.285332,-0.179522,-0.219964,0.361633,0.109102,0.37964,-0.682185,-0.237413,-0.10855
490,sin(0.5x),0.00631465,0.251165,0.0270326,-0.0119883,-0.41052,-0.0892659,0.35538,0.00841983,0.58009,-0.403808,0.137003,-0.250618,0.0139403,-0.247826,0.350242,0.15657,-0.192718,-0.206272,-0.00322741,0.158292,0.209004,-0.112725,-0.0057819,0.222072,-0.233024,-0.227221,0.352505,0.191222,0.36677,-0.685647,-0.225605,-0.05754
