id,type,series,series_length
1,sin(0.5x),-0.916770497122214 -0.289798120404641 -1.05339147489657 -1.0391876861392 -1.28782631823869 -0.347177288301707 -1.72832308779749 -0.676263114787108 -0.540012704526256 0.178849614020709 0.145519843480203 0.0998170471475353 0.95628811308051 0.434365735683295 0.107868776128566 0.590906284403194 0.988948410546595 2.0464860021723 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,18
1,tanh(x),-0.941898623762068 -1.52091652956719 -0.646813955959059 -1.11801382081787 -0.798292233871327 -0.813888906697021 -0.537924049146276 -1.39581071631111 -0.1220345549487 -0.324269003089954 0.209187092423389 0.91922376023001 1.02155236823013 1.0576181769994 2.1155091690229 1.23436159455339 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,16
2,sin(0.5x),-1.66499183620745 -0.633134966815546 -1.35346453046588 -0.870262659110137 -0.813681444629785 -0.29267498268064 -0.624942072717774 -0.982224975732973 -0.926915369302844 -1.09851792496981 -0.221963588379444 -0.733306280570889 0.180938306820787 0.0347783372832652 -0.376146192939232 0.923744519256944 1.08245907603793 0.215592208420427 0.470197308456184 1.67388683964723 0.147861332247205 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,21
2,tanh(x),-0.374711758416495 -0.0637171774163269 -0.180968340488543 -1.0872182737108 -0.695646535063758 -0.977480871544267 -0.966228169171432 -0.690732738440173 -0.733229074232309 -0.284988691995501 0.708990009390378 1.08660978412033 0.620054927997784 1.06159924727218 1.0400025115626 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,15
3,sin(0.5x),-0.0881672544178858 -0.36201889872373 -2.16436929760308 -0.956747791806059 1.01611176952099 0.386621092781804 0.771170427696835 0.63698789931357 1.2109082399467 1.28256879370925 0.268534921390398 1.0024372110728 -0.0410760572721294 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,13
3,tanh(x),-0.74256338587738 -1.41888261006767 -1.02019283013696 0.026476408057585 -0.473354225442205 -0.69322942703164 -1.11364609913796 -0.80548305174391 0.0331919767980337 0.350757614039753 0.113788533662871 1.79884498705981 0.239391061217404 0.690420446096842 0.956675016065236 0.49857521374322 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,16
4,sin(0.5x),-0.431406089505367 -2.06473691901159 -1.43147597175321 -1.31417563221381 -0.438415118346665 0.23424717199131 0.326287686334231 0.38965688371466 0.696748848756781 1.11628868864773 1.06556248273123 1.69704286135427 1.56909121144738 0.598155066927398 1.00590362221908 0.819420922475659 2.21676747584348 0.994013981566472 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,18
4,tanh(x),-1.26779380065847 -1.61430901511256 -1.25374036119674 -0.576952898252314 -1.61195020001393 -0.469212836615236 -1.00479835688375 -0.621842431423461 -1.26865634064878 -0.150864575925073 0.190607504490069 1.10621735009765 1.468154986812 0.599917233371407 0.708371302326728 1.24028700677696 0.727872139714083 1.0293581223941 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,18
5,sin(0.5x),-0.956201276254676 -0.86446767917838 -0.607797878981831 -0.488264839560959 0.311231031728802 -0.798126556597093 -0.907595139693005 -1.71616063463617 -1.1692397330561 -1.19541088199037 -1.29254456697579 -0.789389774753855 0.745535876409506 -0.87518079954637 -0.116681662115197 0.0803027755850128 0.168364571973371 0.861664057265266 1.06164574614682 1.93897908899593 0.402669474899602 0.597419442173835 1.78812401323099 1.46309118484046 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,24
5,tanh(x),-0.562881889200293 -1.15420732536956 -0.806672372377027 -1.35226059482183 -0.657307905590544 -1.36776432793583 -0.555828733061251 -1.27813119035198 -0.200985573395873 0.0375244957153655 0.387341250457519 -0.185504665702366 0.34305696233508 0.382748474870119 1.61076297560115 1.41981543857254 0.682379537271449 1.16620807823045 0.951415807259517 0.861227893074266 0.930186079408445 0.310710443636481 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,22
